0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:15:22 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:15:44 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12254
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:16:50 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12254
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:03 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:18:11 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SS32WE2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:18:11 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SS32WE1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:18:11 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SS32WE3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:19:04 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:20:02 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:20:50 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:21:06 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:21:29 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12451
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:21:52 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7957
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:22:21 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:22:21 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:22:43 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12243
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:23:27 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7310
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:24:02 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:24:22 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=SJTA&filedate=2020-12-19&trxDate=2020-12-07&ViolType=NOR&NumNotice=3&violnumber=4 HTTP/1.1" 500 2582
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:24:49 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=SJTA&filedate=2020-12-19&trxDate=2020-12-07&ViolType=NOR&NumNotice=3&violnumber=4 HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:25:17 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:25:33 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:26:05 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10418
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:26:39 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10418
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:28:09 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:28:27 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SA981D3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:28:27 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SA981D2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:28:27 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SA981D1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:30:28 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10382
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:31:24 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:32:29 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10382
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:32:53 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:33:58 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10616
