0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:10:39 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:11:05 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=DRBA&filedate=2020-04-09&trxDate=2020-03-10&ViolType=NOR&NumNotice=2&violnumber=3 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:11:27 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:13:22 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=DRBA&filedate=2020-04-09&trxDate=2020-03-10&ViolType=NOR&NumNotice=3&violnumber=2 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:14:21 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:16:30 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:16:51 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:17:24 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:37:34 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:41:08 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:50:17 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 6922
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:51:55 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:52:13 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:52:50 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 6701
