127.0.0.1 - - [10/Mar/2020:13:37:56 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:15 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:15 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:15 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:15 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:15 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:15 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:19 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP7 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:19 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:19 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:19 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP11 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:19 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP10 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:19 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP12 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:22 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP15 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:22 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP14 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:22 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP13 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:22 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP17 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:22 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP18 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:22 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP16 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:26 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP21 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:26 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP20 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:26 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP22 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:26 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP19 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:26 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP24 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:26 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP23 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP26 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP27 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP29 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP30 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:30 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP28 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP35 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP36 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP32 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP33 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP31 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP34 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP38 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP37 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP41 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP40 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP39 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:38 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP42 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:41 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP43 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:41 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP46 HTTP/1.1" 200 -
